time	day	nSusceptible	nInfectedButNotContagious	nContagious	nSeriouslySick	nCritical	nTotalInfected	nInfectedCumulative	nRecovered	nInQuarantine
86400.0	1	3223328	40	0	0	0	40	40	0	0
172800.0	2	3223328	40	0	0	0	40	40	0	0
259200.0	3	3223328	40	0	0	0	40	40	0	0
345600.0	4	3223328	0	40	0	0	40	40	0	0
432000.0	5	3223328	0	40	0	0	40	40	0	0
518400.0	6	3223320	8	40	0	0	48	48	0	4
604800.0	7	3223308	20	40	0	0	60	60	0	4
691200.0	8	3223304	24	40	0	0	64	64	0	4
777600.0	9	3223296	24	48	0	0	72	72	0	4
864000.0	10	3223292	16	56	4	0	76	76	0	4
950400.0	11	3223280	24	60	0	4	88	88	0	4
1036800.0	12	3223272	24	68	0	4	96	96	0	12
1123200.0	13	3223260	32	72	0	4	108	108	0	12
1209600.0	14	3223248	32	84	0	4	120	120	0	12
1296000.0	15	3223220	52	92	0	4	148	148	0	12
1382400.0	16	3223188	72	68	0	4	144	180	36	12
1468800.0	17	3223152	96	80	0	4	180	216	36	12
1555200.0	18	3223104	116	108	0	4	228	264	36	12
1641600.0	19	3223032	156	140	0	4	300	336	36	16
1728000.0	20	3222928	224	176	4	0	404	440	36	16
1814400.0	21	3222804	300	216	4	0	520	564	44	24
1900800.0	22	3222712	320	276	4	0	600	656	56	36
1987200.0	23	3222564	364	372	4	0	740	804	64	40
2073600.0	24	3222300	504	484	8	0	996	1068	72	56
2160000.0	25	3222012	700	568	8	4	1280	1356	76	80
2246400.0	26	3221656	908	704	4	8	1624	1712	88	92
2332800.0	27	3221280	1020	960	4	8	1992	2088	96	112
2419200.0	28	3220724	1288	1232	8	8	2536	2644	108	148
2505600.0	29	3219996	1660	1568	20	8	3256	3372	116	228
2592000.0	30	3219084	2196	1916	24	8	4144	4284	140	276
2678400.0	31	3217860	2864	2444	20	12	5340	5508	168	320
2764800.0	32	3216248	3748	3128	28	12	6916	7120	204	376
2851200.0	33	3214280	4804	3988	32	12	8836	9088	252	472
2937600.0	34	3211772	6088	5136	44	8	11276	11596	320	632
3024000.0	35	3208372	7876	6644	56	8	14584	14996	412	828
3110400.0	36	3204164	10116	8476	64	12	18668	19204	536	1104
3196800.0	37	3198736	13036	10836	116	12	24000	24632	632	1444
3283200.0	38	3191748	16624	14064	132	24	30844	31620	776	1780
3369600.0	39	3182532	21632	17980	148	40	39800	40836	1036	2224
3456000.0	40	3171152	27584	23048	228	40	50900	52216	1316	2936
3542400.0	41	3156700	35048	29612	268	76	65004	66668	1664	3732
3628800.0	42	3138516	44016	38368	336	96	82816	84852	2036	4780
3715200.0	43	3114792	56360	49136	416	124	106036	108576	2540	6108
3801600.0	44	3085012	71688	62696	580	156	135120	138356	3236	7932
3888000.0	45	3047516	91000	79792	744	192	171728	175852	4124	10208
3974400.0	46	3000600	114192	102128	932	244	217496	222768	5272	12944
4060800.0	47	2941996	143016	130096	1156	292	274560	281372	6812	16644
4147200.0	48	2868660	178856	165280	1552	328	346016	354708	8692	21168
4233600.0	49	2780152	220448	209264	1988	412	432112	443216	11104	26652
4320000.0	50	2673516	268480	263972	2540	496	535488	549852	14364	33780
4406400.0	51	2547336	321324	332592	3076	644	657636	676032	18396	42816
4492800.0	52	2399620	380532	414840	3972	792	800136	823748	23612	54104
4579200.0	53	2232520	440996	513388	4996	1068	960448	990848	30400	68452
4665600.0	54	2047512	499824	629228	6200	1352	1136604	1175856	39252	85408
4752000.0	55	1849316	550304	763972	7924	1656	1323856	1374052	50196	105864
