Datum;KKH_BB;ITS_BB;NO_ITS_BB;KKH_B;ITS_B;NO_ITS_B;time;day;nSusceptible;nInfectedButNotContagious;nContagious;nSeriouslySick;nCritical;nTotalInfected;nInfectedCumulative;nRecovered;nInQuarantine
;;;;;;;86400;1;3223328;40;0;0;0;40;40;0;0
;;;;;;;172800;2;3223328;40;0;0;0;40;40;0;0
;;;;;;;259200;3;3223328;40;0;0;0;40;40;0;0
;;;;;;;345600;4;3223328;0;40;0;0;40;40;0;0
;;;;;;;432000;5;3223328;0;40;0;0;40;40;0;0
;;;;;;;518400;6;3223320;8;40;0;0;48;48;0;4
;;;;;;;604800;7;3223308;20;40;0;0;60;60;0;4
;;;;;;;691200;8;3223304;24;40;0;0;64;64;0;4
;;;;;;;777600;9;3223296;24;48;0;0;72;72;0;4
;;;;;;;864000;10;3223292;16;56;4;0;76;76;0;4
;;;;;;;950400;11;3223280;24;60;0;4;88;88;0;4
;;;;;;;1036800;12;3223272;24;68;0;4;96;96;0;12
;;;;;;;1123200;13;3223260;32;72;0;4;108;108;0;12
;;;;;;;1209600;14;3223248;32;84;0;4;120;120;0;12
;;;;;;;1296000;15;3223220;52;92;0;4;148;148;0;12
01.03.20;;;;1;;1;1382400;16;3223188;72;68;0;4;144;180;36;12
02.03.20;;;;2;;2;1468800;17;3223152;96;80;0;4;180;216;36;12
03.03.20;;;;4;;4;1555200;18;3223104;116;108;0;4;228;264;36;12
04.03.20;;;;4;;4;1641600;19;3223032;156;140;0;4;300;336;36;16
05.03.20;;;;4;;4;1728000;20;3222928;224;176;4;0;404;440;36;16
06.03.20;;;;4;;4;1814400;21;3222804;300;216;4;0;520;564;44;24
07.03.20;;;;4;;4;1900800;22;3222712;320;276;4;0;600;656;56;36
08.03.20;;;;4;;4;1987200;23;3222564;364;372;4;0;740;804;64;40
09.03.20;;;;4;;4;2073600;24;3222300;504;484;8;0;996;1068;72;56
10.03.20;;;;4;;4;2160000;25;3222012;700;568;8;4;1280;1356;76;80
11.03.20;;;;5;;5;2246400;26;3221656;908;704;4;8;1624;1712;88;92
12.03.20;;;;5;;5;2332800;27;3221260;1040;956;8;8;2012;2108;96;104
13.03.20;;;;8;;8;2419200;28;3220788;1224;1228;12;8;2472;2580;108;132
14.03.20;;;;8;;8;2505600;29;3220128;1528;1572;16;8;3124;3240;116;164
15.03.20;;;;16;;16;2592000;30;3219260;2000;1932;28;8;3968;4108;140;248
16.03.20;;;;20;3;17;2678400;31;3218360;2428;2372;28;12;4840;5008;168;308
17.03.20;;;;21;4;17;2764800;32;3217072;3056;2992;32;12;6092;6296;204;368
18.03.20;;;;28;9;19;2851200;33;3215504;3756;3804;44;12;7616;7864;248;480
19.03.20;;;;43;13;30;2937600;34;3213536;4824;4608;72;12;9516;9832;316;600
20.03.20;;;;44;18;26;3024000;35;3211248;5824;5788;72;20;11704;12120;416;784
21.03.20;20;2;18;39;14;25;3110400;36;3210016;5488;7228;84;20;12820;13352;532;952
22.03.20;24;2;22;41;20;21;3196800;37;3208576;4960;9096;92;20;14168;14792;624;1228
23.03.20;33;2;31;47;22;25;3283200;38;3206520;4728;11184;144;20;16076;16848;772;1516
24.03.20;37;3;34;112;26;86;3369600;39;3204136;5880;12144;148;36;18208;19232;1024;1856
25.03.20;40;3;37;208;38;170;3456000;40;3201856;6720;13296;176;32;20224;21512;1288;2304
26.03.20;34;5;29;235;46;189;3542400;41;3199348;7172;14968;196;44;22380;24020;1640;2584
27.03.20;53;11;42;261;53;208;3628800;42;3196784;7352;16908;248;52;24560;26584;2024;2824
28.03.20;50;11;39;300;64;236;3715200;43;3193956;7900;18664;284;68;26916;29412;2496;3200
29.03.20;65;16;49;312;70;242;3801600;44;3191008;8340;20472;360;84;29256;32360;3104;3580
30.03.20;65;18;47;381;84;297;3888000;45;3187788;8996;22124;396;108;31624;35580;3956;3952
31.03.20;68;19;49;380;92;288;3974400;46;3184608;9348;24008;436;128;33920;38760;4840;4432
01.04.20;77;17;60;479;104;375;4060800;47;3181472;9536;25632;452;156;35776;41896;6120;4916
02.04.20;91;19;72;458;116;342;4147200;48;3178240;9548;27236;552;160;37496;45128;7632;5408
03.04.20;179;23;156;473;124;349;4233600;49;3175020;9588;28412;612;184;38796;48348;9552;5784
04.04.20;187;25;162;502;127;375;4320000;50;3171828;9644;29204;736;200;39784;51540;11756;6224
05.04.20;195;26;169;507;126;381;4406400;51;3168592;9648;31136;792;220;41796;54776;12980;6544
06.04.20;195;26;169;527;133;394;4492800;52;3165264;9756;32912;828;240;43736;58104;14368;6924
07.04.20;195;26;169;505;118;387;4579200;53;3161976;9852;34008;924;228;45012;61392;16380;7188
08.04.20;233;31;202;546;126;420;4665600;54;3158620;9972;34820;1032;236;46060;64748;18688;7408
09.04.20;233;31;202;559;136;423;4752000;55;3155156;10108;35824;1096;252;47280;68212;20932;7764
10.04.20;233;31;202;615;143;472;4838400;56;3151812;10164;36604;1188;248;48204;71556;23352;8168
11.04.20;233;31;202;601;139;462;4924800;57;3148356;10264;37352;1244;272;49132;75012;25880;8368
12.04.20;233;31;202;566;133;433;5011200;58;3144824;10332;37948;1280;288;49848;78544;28696;8624
13.04.20;233;31;202;568;141;427;5097600;59;3141504;10308;38324;1356;272;50260;81864;31604;8796
14.04.20;212;28;184;582;137;445;5184000;60;3137680;10676;38604;1400;264;50944;85688;34744;8924
15.04.20;214;33;181;599;128;471;5270400;61;3134168;10656;38948;1452;252;51308;89200;37892;9060
16.04.20;214;33;181;602;142;460;5356800;62;3130500;11004;39148;1452;288;51892;92868;40976;9108
17.04.20;199;28;171;585;146;439;5443200;63;3126796;10884;39792;1412;300;52388;96572;44184;9256
18.04.20;197;29;168;592;152;440;5529600;64;3123028;11140;40072;1420;288;52920;100340;47420;9296
;;;;;;;5616000;65;3119088;11412;40560;1464;288;53724;104280;50556;9428
;;;;;;;5702400;66;3114852;11944;40992;1512;272;54720;108516;53796;9352
;;;;;;;5788800;67;3110680;12348;41448;1508;260;55564;112688;57124;9576
;;;;;;;5875200;68;3106472;12616;42080;1480;300;56476;116896;60420;9648
;;;;;;;5961600;69;3101972;12880;42888;1520;304;57592;121396;63804;9732
;;;;;;;6048000;70;3097536;13144;43556;1480;336;58516;125832;67316;9840
;;;;;;;6134400;71;3093128;13344;44324;1600;316;59584;130240;70656;10056
;;;;;;;6220800;72;3088500;13472;45344;1612;340;60768;134868;74100;10256
;;;;;;;6307200;73;3083876;13660;46176;1692;360;61888;139492;77604;10540
;;;;;;;6393600;74;3078992;14136;47248;1676;396;63456;144376;80920;10664
;;;;;;;6480000;75;3073948;14552;48068;1708;408;64736;149420;84684;10884
;;;;;;;6566400;76;3068844;15032;49200;1708;432;66372;154524;88152;10996
;;;;;;;6652800;77;3063444;15548;50420;1812;412;68192;159924;91732;11192
;;;;;;;6739200;78;3058100;15848;51708;1880;444;69880;165268;95388;11376
;;;;;;;6825600;79;3052512;16332;52988;2000;444;71764;170856;99092;11568
;;;;;;;6912000;80;3046836;16608;54392;2068;468;73536;176532;102996;11828
;;;;;;;6998400;81;3041096;17004;55500;2088;472;75064;182272;107208;11972
