year,month,day,cases
2020,2,29,1
2020,3,3,6
2020,3,4,3
2020,3,5,10
2020,3,6,5
2020,3,7,1
2020,3,8,11
2020,3,9,21
2020,3,10,33
2020,3,11,41
2020,3,12,47
2020,3,13,59
2020,3,14,29
2020,3,15,26
2020,3,16,63
2020,3,17,92
2020,3,18,145
2020,3,19,180
2020,3,20,169
2020,3,21,127
2020,3,22,68
2020,3,23,159
2020,3,24,199
2020,3,25,244
2020,3,26,286
2020,3,27,205
2020,3,28,200
2020,3,29,86
2020,3,30,167
2020,3,31,213
2020,4,1,187
2020,4,2,237
2020,4,3,238
2020,4,4,107
2020,4,5,78
2020,4,6,142
2020,4,7,202
2020,4,8,177
2020,4,9,177
2020,4,10,82
2020,4,11,87
2020,4,12,54
2020,4,13,58
2020,4,14,73
2020,4,15,113
2020,4,16,94
2020,4,17,118
2020,4,18,81
2020,4,19,32
2020,4,20,45
2020,4,21,76
2020,4,22,81
2020,4,23,88
2020,4,24,73
2020,4,25,53
2020,4,26,22
2020,4,27,55
2020,4,28,75
2020,4,29,67
2020,4,30,57
2020,5,1,25
2020,5,2,31
2020,5,3,31
2020,5,4,51
2020,5,5,53
2020,5,6,58
2020,5,7,58
2020,5,8,4
2020,5,9,17
2020,5,10,8
2020,5,11,17
2020,5,12,37
2020,5,13,58
2020,5,14,45
2020,5,15,17
2020,5,16,16
2020,5,17,8
2020,5,18,33
2020,5,19,45
2020,5,20,45
2020,5,21,10
2020,5,22,35
2020,5,23,8
2020,5,24,3
2020,5,25,22
2020,5,26,22
2020,5,27,42
2020,5,28,24
2020,5,29,29
2020,5,30,23
2020,5,31,27
2020,6,1,2
2020,6,2,42
2020,6,3,55
2020,6,4,32
2020,6,5,35
2020,6,6,16
2020,6,7,8
2020,6,8,29
2020,6,9,57
2020,6,10,77
2020,6,11,52
2020,6,12,42
2020,6,13,68
2020,6,14,12
2020,6,15,31
2020,6,16,76
2020,6,17,85
2020,6,18,128
2020,6,19,136
2020,6,20,35
2020,6,21,20
2020,6,22,63
2020,6,23,71
2020,6,24,58
2020,6,25,62
2020,6,26,42
2020,6,27,17
2020,6,28,2
2020,6,29,53
2020,6,30,35
2020,7,1,46
2020,7,2,57
2020,7,3,41
2020,7,4,31
2020,7,5,2
2020,7,6,33
2020,7,7,37
2020,7,8,47
2020,7,9,33
2020,7,10,34
2020,7,11,4
2020,7,12,1
2020,7,13,27
2020,7,14,25
2020,7,15,24
2020,7,16,16
2020,7,17,20
2020,7,18,19
