year,month,day,cases
2020,01,20,1
2020,02,07,1
2020,02,09,1
2020,02,15,1
2020,02,16,4
2020,02,17,2
2020,02,18,1
2020,02,19,2
2020,02,20,8
2020,02,21,5
2020,02,22,10
2020,02,23,14
2020,02,24,25
2020,02,25,42
2020,02,26,64
2020,02,27,63
2020,02,28,63
2020,02,29,38
2020,03,01,40
2020,03,02,36
2020,03,03,38
2020,03,04,54
2020,03,05,31
2020,03,06,39
2020,03,07,34
2020,03,08,37
2020,03,09,48
2020,03,10,41
2020,03,11,47
2020,03,12,36
2020,03,13,55
2020,03,14,28
2020,03,15,23
2020,03,16,49
2020,03,17,36
2020,03,18,30
2020,03,19,48
2020,03,20,32
2020,03,21,43
2020,03,22,21
2020,03,23,30
2020,03,24,27
2020,03,25,37
2020,03,26,31
2020,03,27,27
2020,03,28,25
2020,03,29,4
2020,03,30,24
2020,03,31,24
2020,04,01,46
2020,04,02,17
2020,04,03,10
2020,04,04,5
2020,04,05,3
2020,04,06,16
2020,04,07,14
2020,04,08,20
2020,04,09,8
2020,04,11,15
2020,04,12,2
2020,04,14,6
2020,04,15,19
2020,04,16,19
2020,04,17,55
2020,04,18,9
