Datum,Gemeldete Fälle,Stationäre Behandlung,Intensivmedizin,gestorben
01.03.2020,,,0,
02.03.2020,,,0,
03.03.2020,,,2,
04.03.2020,,,2,
05.03.2020,,,4,
06.03.2020,,,4,
07.03.2020,,,4,
08.03.2020,,,4,
09.03.2020,,,31,
10.03.2020,,,31,
11.03.2020,,,33,
12.03.2020,,,57,
13.03.2020,,,65,
14.03.2020,,,70,
15.03.2020,,,84,
16.03.2020,,,78,
17.03.2020,,,83,
18.03.2020,,,91,
19.03.2020,,,121,
20.03.2020,,,125,
21.03.2020,,,157,
22.03.2020,,,177,
23.03.2020,,,225,
24.03.2020,,,260,
25.03.2020,,,290,
26.03.2020,,,324,
27.03.2020,,,346,
28.03.2020,,,364,
29.03.2020,,,435,
30.03.2020,,,449,
31.03.2020,,,451,
01.04.2020,,,499,
02.04.2020,,,565,
03.04.2020,,,627,
04.04.2020,,,691,
05.04.2020,,,685,
06.04.2020,,,783,
07.04.2020,,,895,
08.04.2020,,,976,
09.04.2020,,,1077,
10.04.2020,,,1139,
11.04.2020,,,1152,
12.04.2020,,,1277,
13.04.2020,,,1370,
14.04.2020,,,1385,
15.04.2020,,,1424,
16.04.2020,,,1601,
17.04.2020,,,1727,
18.04.2020,,,1769,
19.04.2020,,,1839,
20.04.2020,,,1826,
21.04.2020,,,1935,
22.04.2020,,,1985,
23.04.2020,,,2010,
24.04.2020,,,1988,
25.04.2020,,,1947,
26.04.2020,,,1952,
27.04.2020,,,1950,
28.04.2020,,,2024,
29.04.2020,,,2002,
30.04.2020,,,2073,
01.05.2020,,,2151,
02.05.2020,,,2089,
03.05.2020,,,2062,
04.05.2020,,,2080,
05.05.2020,,,2146,
06.05.2020,,,2195,
07.05.2020,,,2196,
08.05.2020,,,2281,
09.05.2020,,,2312,
10.05.2020,,,2360,
11.05.2020,,,2258,
12.05.2020,,,1843,
13.05.2020,,,1833,
14.05.2020,,,1877,
15.05.2020,,,1900,
16.05.2020,,,1908,
17.05.2020,,,1932,
18.05.2020,,,1946,
19.05.2020,,,1936,
20.05.2020,,,1969,
21.05.2020,,,1955,
22.05.2020,,,1975,
23.05.2020,,,2006,
24.05.2020,,,2031,
