year,month,day,cases
2020,1,1,1
2020,1,5,1
2020,1,6,1
2020,1,15,1
2020,1,19,2
2020,1,20,2
2020,1,22,2
2020,1,23,1
2020,1,26,1
2020,1,27,1
2020,1,28,2
2020,1,29,2
2020,1,30,1
2020,1,31,1
2020,2,2,1
2020,2,3,1
2020,2,5,1
2020,2,14,1
2020,2,15,3
2020,2,17,1
2020,2,23,1
2020,2,24,2
2020,2,25,2
2020,2,26,5
2020,2,27,2
2020,2,28,4
2020,2,29,4
2020,3,1,9
2020,3,2,10
2020,3,3,14
2020,3,4,9
2020,3,5,7
2020,3,6,27
2020,3,7,20
2020,3,8,26
2020,3,9,65
2020,3,10,84
2020,3,11,87
2020,3,12,100
2020,3,13,143
2020,3,14,154
2020,3,15,151
2020,3,16,190
2020,3,17,222
2020,3,18,263
2020,3,19,185
2020,3,20,213
2020,3,21,148
2020,3,22,122
2020,3,23,161
2020,3,24,141
2020,3,25,214
2020,3,26,168
2020,3,27,219
2020,3,28,137
2020,3,29,139
2020,3,30,115
2020,3,31,187
2020,4,1,177
2020,4,2,102
2020,4,3,142
2020,4,4,108
2020,4,5,74
2020,4,6,91
2020,4,7,88
2020,4,8,115
2020,4,9,96
2020,4,10,49
2020,4,11,79
2020,4,12,51
2020,4,13,64
2020,4,14,66
2020,4,15,74
2020,4,16,63
2020,4,17,63
2020,4,18,36
2020,4,19,44
2020,4,20,48
2020,4,21,39
2020,4,22,45
2020,4,23,52
2020,4,24,51
2020,4,25,54
2020,4,26,28
2020,4,27,76
2020,4,28,35
2020,4,29,40
2020,4,30,41
2020,5,1,58
2020,5,2,30
2020,5,3,25
2020,5,4,29
2020,5,5,31
2020,5,6,20
2020,5,7,31
2020,5,8,31
2020,5,9,25
2020,5,10,19
2020,5,11,49
2020,5,12,21
2020,5,13,18
2020,5,14,18
2020,5,15,19
2020,5,16,6
2020,5,17,9
2020,5,18,16
2020,5,19,16
2020,5,20,16
2020,5,21,13
2020,5,22,24
2020,5,23,7
2020,5,24,12
2020,5,25,10
2020,5,26,37
2020,5,27,25
2020,5,28,8
2020,5,29,13
2020,5,30,31
2020,5,31,8
2020,6,1,3
2020,6,2,8
2020,6,3,11
2020,6,4,11
2020,6,5,14
2020,6,6,8
2020,6,7,11
2020,6,8,14
2020,6,9,5
2020,6,10,8
2020,6,11,4
2020,6,12,11
2020,6,13,4
2020,6,14,9
2020,6,15,5
2020,6,16,7
2020,6,17,10
2020,6,18,5
2020,6,19,13
2020,6,20,28
2020,6,21,16
2020,6,22,10
2020,6,23,18
2020,6,24,14
2020,6,25,17
2020,6,26,24
2020,6,27,11
2020,6,28,22
2020,6,29,22
2020,6,30,27
2020,7,1,9
2020,7,2,18
2020,7,3,18
2020,7,4,14
2020,7,5,10
2020,7,6,17
2020,7,7,35
2020,7,8,16
2020,7,9,11
2020,7,10,11
2020,7,11,9
2020,7,12,8
2020,7,13,21
2020,7,14,12
2020,7,15,27
2020,7,16,17
2020,7,17,30
2020,7,18,11
2020,7,19,15
2020,7,20,11
2020,7,21,10
2020,7,22,17
2020,7,23,12
2020,7,24,13
2020,7,25,14
2020,7,26,8
2020,7,27,20
2020,7,28,16
2020,7,29,16
2020,7,30,16
2020,7,31,15
2020,8,1,11
2020,8,2,12
2020,8,3,31
2020,8,4,18
2020,8,5,20
2020,8,6,29
2020,8,7,26
2020,8,8,24
2020,8,9,22
2020,8,10,44
2020,8,11,54
2020,8,12,52
2020,8,13,61
2020,8,14,49
2020,8,15,33
